product_name	step_number	step_name	stage_name	eqp_id
A005-D1	10.001	A005-D1-FC-DUMMY	AB1-FC	
A005-D1	10.002	A005-D1-FC-REFLOW	AB1-FC	PKCON001,PKCON002,PKCON003
A005-D1	10.003	A005-D1-FC-DEFLUX	AB1-FC	PKFCV001
A005-D1	10.004	A005-D1-FC-SOH-MEAS	AB1-FC	PMSOH001,PMSOH002,PMSOH003
A005-D1	10.005	A005-D1-FC-GAP-MEAS	AB1-FC	PMSOH001,PMSOH002,PMSOH003,PMQEM001
A005-D1	10.006	A005-D1-FC-INSP	AB1-FC	PMAOM004
A005-D1	10.007	A005-D1-FC-INSP-REV	AB1-FC	
A005-D1	20.001	A005-D1-UF-BAKE	AB1-UF	PLAOV002,PLAOV003
A005-D1	20.002	A005-D1-UF-AUTO-SPLIT	AB1-UF	PSWST003
A005-D1	20.003	A005-D1-UF-PLASMA	AB1-UF	PEDES101,PEDES102
A005-D1	20.004	A005-D1-UF-DISPENSE	AB1-UF	PKUFD001,PKUFD002,PKUFD003
A005-D1	20.005	A005-D1-UF-CURE	AB1-UF	PKPOV001,PKPOV003
A005-D1	20.006	A005-D1-UF-INSP	AB1-UF	PMAOM004
A005-D1	20.007	A005-D1-UF-INSP-REV	AB1-UF	
A005-D1	20.008	A005-D1-UF-CREEP-DISTANCE-MEAS	AB1-UF	PFTST001
A005-D1	30.001	A005-D1-DAF-DUMMY-DIE	AB1-DAF	PKDBD001
A005-D1	30.002	A005-D1-DAF-CURE	AB1-DAF	PKPOV002
A005-D1	30.003	A005-D1-DAF-INSP	AB1-DAF	PMAOM004
A005-D1	30.004	A005-D1-DAF-INSP-REV	AB1-DAF	
A005-D1	30.005	A005-D1-DAF-SAT-VOID	AB1-DAF	PKSAT002,PKSAT006
A005-D1	30.006	A005-D1-DAF-BAKE	AB1-DAF	PLAOV002
A005-D1	30.007	A005-D1-DAF-CHIPPING-INSP	AB1-DAF	PMAOM004
A005-D1	30.008	A005-D1-DAF-CHIPPING-INSP-REV	AB1-DAF	
A005-D1	30.009	A005-D1-DAF-WARP-MEAS	AB1-DAF	PMPFM001
A005-D1	40.001	A005-D1-MD-PLASMA	AB1-MOD	PEDES101,PEDES102
A005-D1	40.002	A005-D1-MD-MOLDING	AB1-MOD	PKMOD001
A005-D1	40.003	A005-D1-MD-SHIFT-MEAS	AB1-MOD	PMQEM001
A005-D1	40.004	A005-D1-MD-INSP	AB1-MOD	PMAOM004
A005-D1	40.005	A005-D1-MD-INSP-REV	AB1-MOD	
A005-D1	40.006	A005-D1-MD-TTV-MEAS	AB1-MOD	PMPFM001
A005-D1	40.007	A005-D1-MD-SAT-VOID	AB1-MOD	PKSAT005
A005-D1	40.008	A005-D1-MD-BAKE	AB1-MOD	PLAOV002,PLAOV003
A005-D1	40.009	A005-D1-MD-WARP-MEAS	AB1-MOD	PMPFM001
A005-D1	50.001	A005-D1-BG2-SORT	AB1-BG2	PSWST003
A005-D1	50.002	A005-D1-BG2-GLASS-CLEAN	AB1-BG2	PWBSB001
A005-D1	50.003	A005-D1-BG2-PRE-INSP	AB1-BG2	PMAOM004
A005-D1	50.004	A005-D1-BG2-PRE-INSP-REV	AB1-BG2	
A005-D1	50.005	A005-D1-BG2-GRINDING	AB1-BG2	PGGLI001
A005-D1	50.006	A005-D1-BG2-SORT-02	AB1-BG2	PSWST003
A005-D1	50.007	A005-D1-BG2-GRINDING-02	AB1-BG2	PGGLI003
A005-D1	50.008	A005-D1-BG2-INSP1	AB1-BG2	PMAOM004
A005-D1	50.009	A005-D1-BG2-INSP1-REV	AB1-BG2	
A005-D1	50.010	A005-D1-BG2-THK-MEAS	AB1-BG2	PMPFM001
A005-D1	50.011	A005-D1-BG2-WARP-MEAS	AB1-BG2	PMPFM001
A005-D1	50.012	A005-D1-BG2-TOPTHK-MEAS	AB1-BG2	PMSOH001
A005-D1	50.013	A005-D1-BG2-GAP-MEAS	AB1-BG2	PMSOH001
A005-D1	50.014	A005-D1-BG2-UNIT-MARKING	AB1-BG2	PBUMK001
