product_name	Q-time_start	Q-time_end	Q-time_start_mod	Q-time_end_mod	Q-time
A005-MA	A005-R1-FC-REFLOW	A005-R1-FC-DEFLUX	track out	track in	720
A005-MA	A005-R1-UF-BAKE	A005-R1-UF-DISPENSE	track out	track in	1440
A005-MA	A005-R1-UF-PLASMA	A005-R1-UF-DISPENSE	track out	track out	240
A005-MA	A005-R1-UF-DISPENSE	A005-R1-UF-CURE	track out	track in	240
A005-MA	A005-R1-DAF-DUMMY-DIE	A005-R1-DAF-CURE	track out	track in	1440
A005-MA	A005-R1-DAF-BAKE	A005-R1-MD-MOLDING	track out	track in	1440
A005-MA	A005-R1-MD-PLASMA	A005-R1-MD-MOLDING	track out	track in	240
A005-P1	A005-P1-FC-REFLOW	A005-P1-FC-DEFLUX	track out	track in	720
A005-P1	A005-P1-UF-BAKE	A005-P1-UF-DISPENSE	track out	track in	1440
A005-P1	A005-P1-UF-PLASMA	A005-P1-UF-DISPENSE	track out	track out	240
A005-P1	A005-P1-UF-DISPENSE	A005-P1-UF-CURE	track out	track in	240
A005-P1	A005-P1-DAF-DUMMY-DIE	A005-P1-DAF-CURE	track out	track in	1440
A005-P1	A005-P1-DAF-BAKE	A005-P1-MD-MOLDING	track out	track in	1440
A005-P1	A005-P1-MD-PLASMA	A005-P1-MD-MOLDING	track out	track in	240
A005-RA	A005-R1-FC-REFLOW	A005-R1-FC-DEFLUX	track out	track in	720
A005-RA	A005-R1-UF-BAKE	A005-R1-UF-DISPENSE	track out	track in	1440
A005-RA	A005-R1-UF-PLASMA	A005-R1-UF-DISPENSE	track out	track out	240
A005-RA	A005-R1-UF-DISPENSE	A005-R1-UF-CURE	track out	track in	240
A005-RA	A005-R1-DAF-DUMMY-DIE	A005-R1-DAF-CURE	track out	track in	1440
A005-RA	A005-R1-DAF-BAKE	A005-R1-MD-MOLDING	track out	track in	1440
A005-RA	A005-R1-MD-PLASMA	A005-R1-MD-MOLDING	track out	track in	240
A005-D1	A005-D1-FC-REFLOW	A005-D1-FC-DEFLUX	track out	track in	720
A005-D1	A005-D1-UF-BAKE	A005-D1-UF-DISPENSE	track out	track in	1440
A005-D1	A005-D1-UF-PLASMA	A005-D1-UF-DISPENSE	track out	track out	240
A005-D1	A005-D1-UF-DISPENSE	A005-D1-UF-CURE	track out	track in	240
A005-D1	A005-D1-DAF-DUMMY-DIE	A005-D1-DAF-CURE	track out	track in	1440
A005-D1	A005-D1-DAF-BAKE	A005-D1-MD-MOLDING	track out	track in	1440
A005-D1	A005-D1-MD-PLASMA	A005-D1-MD-MOLDING	track out	track in	240
A006-RS	A006-R1-DPS-MOUNT	A006-R1-DPS-UV-ERASE	track out	track in	10080
A006-RS	A006-R1-FTF-OPUT-MOUNT	A006-R1-FTF-OPUT-UVERASE	track out	track in	10080
A005-RS	A005-R1-DPS-MOUNT	A005-R1-DPS-UV-ERASE	track out	track in	10080
A005-MS	A005-R1-DPS-MOUNT	A005-R1-DPS-UV-ERASE	track out	track in	10080
A005-D1	A005-D1-DPS-MOUNT	A005-D1-DPS-UV-ERASE	track out	track in	10080
A007-RS	A007-R1-DPS-MOUNT	A007-R1-DPS-UV-ERASE	track out	track in	10080
A007-RS	A007-R1-FTF-OPUT-MOUNT	A007-R1-FTF-OPUT-UVERASE	track out	track in	10080
A007-MS	A007-R1-DPS-MOUNT	A007-R1-DPS-UV-ERASE	track out	track in	10080
A007-MS	A007-R1-FTF-OPUT-MOUNT	A007-R1-FTF-OPUT-UVERASE	track out	track in	10080
A007-D1	A007-D1-DPS-MOUNT	A007-D1-DPS-UV-ERASE	track out	track in	10080
A007-D1	A007-D1-FTF-OPUT-MOUNT	A007-D1-FTF-OPUT-UVERASE	track out	track in	10080
A006-D1	A006-D1-DPS-MOUNT	A006-D1-DPS-UV-ERASE	track out	track in	10080
A006-D1	A006-D1-FTF-OPUT-MOUNT	A006-D1-FTF-OPUT-UVERASE	track out	track in	10080
A006-MS	A006-R1-DPS-MOUNT	A006-R1-DPS-UV-ERASE	track out	track in	10080
A006-MS	A006-R1-FTF-OPUT-MOUNT	A006-R1-FTF-OPUT-UVERASE	track out	track in	10080
A008-MS	A008-R1-DPS-MOUNT	A008-R1-DPS-UV-ERASE	track out	track in	10080
A008-MS	A008-R1-FTF-OPUT-MOUNT	A008-R1-FTF-OPUT-UVERASE	track out	track in	10080
A008-RS	A008-R1-DPS-MOUNT	A008-R1-DPS-UV-ERASE	track out	track in	10080
A008-RS	A008-R1-FTF-OPUT-MOUNT	A008-R1-FTF-OPUT-UVERASE	track out	track in	10080
A008-D1	A008-D1-DPS-MOUNT	A008-D1-DPS-UV-ERASE	track out	track in	10080
A008-D1	A008-D1-FTF-OPUT-MOUNT	A008-D1-FTF-OPUT-UVERASE	track out	track in	10080
A009-MS	A009-R1-DPS-MOUNT	A009-R1-DPS-UV-ERASE	track out	track in	10080
A009-MS	A009-R1-FTF-OPUT-MOUNT	A009-R1-FTF-OPUT-UVERASE	track out	track in	10080
A009-RS	A009-R1-DPS-MOUNT	A009-R1-DPS-UV-ERASE	track out	track in	10080
A009-RS	A009-R1-FTF-OPUT-MOUNT	A009-R1-FTF-OPUT-UVERASE	track out	track in	10080
A009-D1	A009-D1-DPS-MOUNT	A009-D1-DPS-UV-ERASE	track out	track in	10080
A009-D1	A009-D1-FTF-OPUT-MOUNT	A009-D1-FTF-OPUT-UVERASE	track out	track in	10080
