eqp_name	no_used_start_time	no_used_end_time	date	week
PKCON001	22:00	0:00	-1	
PKCON002	22:00	0:00	-1	
PKCON003	22:00	0:00	-1	
PKFCV001	22:00	0:00	-1	
PKUFD001	22:00	0:00	-1	
PKUFD002	22:00	0:00	-1	
PKMOD001	22:00	0:00	-1	
PGGLI001	22:00	0:00	-1	
PGGLI003	22:00	0:00	-1	
PBUMK001	22:00	0:00	-1	
PKCON001	0:00	8:30	-1	
PKCON002	0:00	8:30	-1	
PKCON003	0:00	8:30	-1	
PKFCV001	0:00	8:30	-1	
PKUFD001	0:00	8:30	-1	
PKUFD002	0:00	8:30	-1	
PKMOD001	0:00	8:30	-1	
PGGLI001	0:00	8:30	-1	
PGGLI003	0:00	8:30	-1	
PBUMK001	0:00	8:30	-1	
PKFFS001	22:00	0:00		
PKFFS002	22:00	0:00		
PKFFS003	22:00	0:00		
PKFFS001	0:00	8:30		
PKFFS002	0:00	8:30		
PKFFS003	0:00	8:30
