lot1	step1	lot2	step2	mod
real4	A005-R1-FC-REFLOW	f45	A005-P1-FC-REFLOW	lead
real4	A005-R1-UF-DISPENSE	f45	A005-P1-UF-DISPENSE	lead
real4	A005-R1-MD-MOLDING	f45	A005-P1-MD-MOLDING	lead
real5	A005-R1-FC-REFLOW	real4	A005-R1-FC-REFLOW	lead
real5	A005-R1-UF-DISPENSE	real4	A005-R1-UF-DISPENSE	lead
real5	A005-R1-MD-MOLDING	real4	A005-R1-MD-MOLDING	lead
real6	A005-R1-FC-REFLOW	f678	A005-P1-FC-REFLOW	lead
real6	A005-R1-UF-DISPENSE	f678	A005-P1-UF-DISPENSE	lead
real6	A005-R1-MD-MOLDING	f678	A005-P1-MD-MOLDING	lead
real7	A005-R1-FC-REFLOW	real6	A005-R1-FC-REFLOW	lead
real7	A005-R1-UF-DISPENSE	real6	A005-R1-UF-DISPENSE	lead
real7	A005-R1-MD-MOLDING	real6	A005-R1-MD-MOLDING	lead
real8	A005-R1-FC-REFLOW	real7	A005-R1-FC-REFLOW	lead
real8	A005-R1-UF-DISPENSE	real7	A005-R1-UF-DISPENSE	lead
real8	A005-R1-MD-MOLDING	real7	A005-R1-MD-MOLDING	lead
real9	A005-R1-FC-REFLOW	f9	A005-P1-FC-REFLOW	lead
real9	A005-R1-UF-DISPENSE	f9	A005-P1-UF-DISPENSE	lead
real9	A005-R1-MD-MOLDING	f9	A005-P1-MD-MOLDING	lead
