ext_priority	int_priority	wait_time
1	1	10
1	2	11
1	3	12
1	4	13
1	5	14
1	6	14
1	7	15
1	8	16
1	9	17
2	1	18
2	2	19
2	3	20
2	4	20
2	5	21
2	6	22
2	7	23
2	8	23
2	9	24
3	1	25
3	2	27
3	3	28
3	4	30
3	5	32
3	6	33
3	7	35
3	8	37
3	9	38
4	1	40
4	2	42
4	3	44
4	4	47
4	5	49
4	6	51
4	7	53
4	8	56
4	9	58
5	1	60
5	2	63
5	3	67
5	4	70
5	5	73
5	6	77
5	7	80
5	8	83
5	9	87
6	1	90
6	2	94
6	3	99
6	4	103
6	5	108
6	6	112
6	7	117
6	8	121
6	9	126
7	1	130
7	2	136
7	3	141
7	4	147
7	5	152
7	6	158
7	7	163
7	8	169
7	9	174
8	1	180
8	2	188
8	3	196
8	4	203
8	5	211
8	6	219
8	7	227
8	8	234
8	9	242
9	1	250
9	2	258
9	3	266
9	4	273
9	5	281
9	6	289
9	7	297
9	8	304
9	9	312
