product_name	step_number	step_name	qty	step_ct
A005-MA	10.001	A005-R1-AB1IQC-WFS	1	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	2	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	3	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	4	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	5	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	6	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	7	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	8	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	9	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	10	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	11	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	12	12.0
A005-MA	10.001	A005-R1-AB1IQC-WFS	13	12.0
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	1	0.72
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	2	0.96
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	3	1.2
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	4	1.44
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	5	1.68
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	6	1.92
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	7	2.16
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	8	2.4
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	9	2.64
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	10	2.88
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	11	3.12
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	12	3.36
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	13	3.6
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	1	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	2	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	3	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	4	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	5	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	6	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	7	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	8	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	9	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	10	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	11	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	12	12.0
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	13	12.0
A005-MA	10.004	A005-R1-AB1IQC-INSP	1	1.92
A005-MA	10.004	A005-R1-AB1IQC-INSP	2	2.76
A005-MA	10.004	A005-R1-AB1IQC-INSP	3	3.6
A005-MA	10.004	A005-R1-AB1IQC-INSP	4	4.44
A005-MA	10.004	A005-R1-AB1IQC-INSP	5	5.28
A005-MA	10.004	A005-R1-AB1IQC-INSP	6	6.12
A005-MA	10.004	A005-R1-AB1IQC-INSP	7	6.96
A005-MA	10.004	A005-R1-AB1IQC-INSP	8	7.8
A005-MA	10.004	A005-R1-AB1IQC-INSP	9	8.64
A005-MA	10.004	A005-R1-AB1IQC-INSP	10	9.48
A005-MA	10.004	A005-R1-AB1IQC-INSP	11	10.32
A005-MA	10.004	A005-R1-AB1IQC-INSP	12	11.16
A005-MA	10.004	A005-R1-AB1IQC-INSP	13	12.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	1	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	2	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	3	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	4	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	5	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	6	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	7	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	8	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	9	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	10	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	11	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	12	9.0
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	13	9.0
A005-MA	20.001	A005-R1-FC-REFLOW	1	90.6
A005-MA	20.001	A005-R1-FC-REFLOW	2	125.4
A005-MA	20.001	A005-R1-FC-REFLOW	3	160.2
A005-MA	20.001	A005-R1-FC-REFLOW	4	195.0
A005-MA	20.001	A005-R1-FC-REFLOW	5	229.8
A005-MA	20.001	A005-R1-FC-REFLOW	6	264.6
A005-MA	20.001	A005-R1-FC-REFLOW	7	299.4
A005-MA	20.001	A005-R1-FC-REFLOW	8	334.2
A005-MA	20.001	A005-R1-FC-REFLOW	9	369.0
A005-MA	20.001	A005-R1-FC-REFLOW	10	403.8
A005-MA	20.001	A005-R1-FC-REFLOW	11	438.6
A005-MA	20.001	A005-R1-FC-REFLOW	12	473.4
A005-MA	20.001	A005-R1-FC-REFLOW	13	508.2
A005-MA	20.002	A005-R1-FC-DEFLUX	1	44.52
A005-MA	20.002	A005-R1-FC-DEFLUX	2	67.56
A005-MA	20.002	A005-R1-FC-DEFLUX	3	90.6
A005-MA	20.002	A005-R1-FC-DEFLUX	4	113.64
A005-MA	20.002	A005-R1-FC-DEFLUX	5	136.68
A005-MA	20.002	A005-R1-FC-DEFLUX	6	159.72
A005-MA	20.002	A005-R1-FC-DEFLUX	7	182.76
A005-MA	20.002	A005-R1-FC-DEFLUX	8	205.8
A005-MA	20.002	A005-R1-FC-DEFLUX	9	226.92
A005-MA	20.002	A005-R1-FC-DEFLUX	10	248.04
A005-MA	20.002	A005-R1-FC-DEFLUX	11	269.16
A005-MA	20.002	A005-R1-FC-DEFLUX	12	290.28
A005-MA	20.002	A005-R1-FC-DEFLUX	13	311.4
A005-MA	20.003	A005-R1-FC-SOH-MEAS	1	249.24
A005-MA	20.003	A005-R1-FC-SOH-MEAS	2	364.32
A005-MA	20.003	A005-R1-FC-SOH-MEAS	3	479.4
A005-MA	20.003	A005-R1-FC-SOH-MEAS	4	594.48
A005-MA	20.003	A005-R1-FC-SOH-MEAS	5	709.56
A005-MA	20.003	A005-R1-FC-SOH-MEAS	6	824.64
A005-MA	20.003	A005-R1-FC-SOH-MEAS	7	939.72
A005-MA	20.003	A005-R1-FC-SOH-MEAS	8	1054.8
A005-MA	20.003	A005-R1-FC-SOH-MEAS	9	1169.88
A005-MA	20.003	A005-R1-FC-SOH-MEAS	10	1284.96
A005-MA	20.003	A005-R1-FC-SOH-MEAS	11	1400.04
A005-MA	20.003	A005-R1-FC-SOH-MEAS	12	1515.12
A005-MA	20.003	A005-R1-FC-SOH-MEAS	13	1630.2
A005-MA	20.004	A005-R1-FC-GAP-MEAS	1	12.48
A005-MA	20.004	A005-R1-FC-GAP-MEAS	2	25.44
A005-MA	20.004	A005-R1-FC-GAP-MEAS	3	38.4
A005-MA	20.004	A005-R1-FC-GAP-MEAS	4	51.36
A005-MA	20.004	A005-R1-FC-GAP-MEAS	5	64.32
A005-MA	20.004	A005-R1-FC-GAP-MEAS	6	77.28
