product_name	step_number	step_name	stage_name	eqp_id
A005-MA	10.001	A005-R1-AB1IQC-WFS	AB1-IQC	
A005-MA	10.002	A005-R1-AB1IQC-T7CODE	AB1-IQC	PSWST002
A005-MA	10.003	A005-R1-AB1IQC-INCOMING-MAP	AB1-IQC	
A005-MA	10.004	A005-R1-AB1IQC-INSP	AB1-IQC	PMAOM004
A005-MA	10.005	A005-R1-AB1IQC-INSP-REV	AB1-IQC	
A005-MA	20.001	A005-R1-FC-REFLOW	AB1-FC	PKCON001,PKCON002,PKCON003
A005-MA	20.002	A005-R1-FC-DEFLUX	AB1-FC	PKFCV001
A005-MA	20.003	A005-R1-FC-SOH-MEAS	AB1-FC	PMSOH001,PMSOH003
A005-MA	20.004	A005-R1-FC-GAP-MEAS	AB1-FC	PMSOH001,PMSOH003
A005-MA	20.005	A005-R1-FC-IR-INSP	AB1-FC	PMSOH003
A005-MA	20.006	A005-R1-FC-IR-INSP-REV	AB1-FC	
A005-MA	20.007	A005-R1-FC-INSP	AB1-FC	PMAOM004
A005-MA	20.008	A005-R1-FC-INSP-REV	AB1-FC	
A005-MA	30.001	A005-R1-UF-BAKE	AB1-UF	PLAOV002,PLAOV003
A005-MA	30.002	A005-R1-UF-AUTO-SPLIT	AB1-UF	PSWST003
A005-MA	30.003	A005-R1-UF-PLASMA	AB1-UF	PEDES101,PEDES102
A005-MA	30.004	A005-R1-UF-DISPENSE	AB1-UF	PKUFD001,PKUFD002
A005-MA	30.005	A005-R1-UF-CURE	AB1-UF	PKPOV001
A005-MA	30.006	A005-R1-UF-INSP	AB1-UF	PMAOM004
A005-MA	30.007	A005-R1-UF-INSP-REV	AB1-UF	
A005-MA	30.008	A005-R1-UF-CREEP-DISTANCE-MEAS	AB1-UF	PFTST001
A005-MA	40.001	A005-R1-DAF-DUMMY-DIE	AB1-DAF	PKDBD001
A005-MA	40.002	A005-R1-DAF-CURE	AB1-DAF	PKPOV002
A005-MA	40.003	A005-R1-DAF-INSP	AB1-DAF	PMAOM004
A005-MA	40.004	A005-R1-DAF-INSP-REV	AB1-DAF	
A005-MA	40.005	A005-R1-DAF-SAT	AB1-DAF	PKSAT002,PKSAT006
A005-MA	40.006	A005-R1-DAF-SAT-REV	AB1-DAF	
A005-MA	40.007	A005-R1-DAF-BAKE	AB1-DAF	PLAOV002,PLAOV003
A005-MA	40.008	A005-R1-DAF-CHIPPING-INSP	AB1-DAF	PMAOM004
A005-MA	40.009	A005-R1-DAF-CHIPPING-INSP-REV	AB1-DAF	
A005-MA	40.010	A005-R1-DAF-WARP-MEAS	AB1-DAF	PMPFM001
A005-MA	50.001	A005-R1-MD-PLASMA	AB1-MOD	PEDES101,PEDES102
A005-MA	50.002	A005-R1-MD-MOLDING	AB1-MOD	PKMOD001
A005-MA	50.003	A005-R1-MD-SHIFT-MEAS	AB1-MOD	PMQEM001
A005-MA	50.004	A005-R1-MD-INSP	AB1-MOD	PMAOM004
A005-MA	50.005	A005-R1-MD-INSP-REV	AB1-MOD	
A005-MA	50.006	A005-R1-MD-TTV-MEAS	AB1-MOD	PMPFM001
A005-MA	50.007	A005-R1-MD-SAT	AB1-MOD	PKSAT005
A005-MA	50.008	A005-R1-MD-SAT-REV	AB1-MOD	
A005-MA	50.009	A005-R1-MD-BAKE	AB1-MOD	PLAOV002,PLAOV003
