lot1	step1	lot2	step2	mod
real1	A005-R1-FC-REFLOW	PC1	A005-P1-FC-REFLOW	0
real1	A005-R1-UF-DISPENSE	PC1	A005-P1-UF-DISPENSE	0
real1	A005-R1-BG2-PRE-INSP	PC1	A005-P1-BG2-INSP2-REV	0
PC1	A005-P1-FC-REFLOW	real1	A005-R1-AB1IQC-INSP-REV	0
PC1	A005-P1-UF-DISPENSE	real1	A005-R1-UF-BAKE	0
PC1	A005-P1-BG2-SORT	real1	A005-R1-DAF-SAT	0
real2	A005-R1-FC-REFLOW	PC2	A005-P1-FC-REFLOW	0
real2	A005-R1-UF-DISPENSE	PC2	A005-P1-UF-DISPENSE	0
real2	A005-R1-BG2-PRE-INSP	PC2	A005-P1-BG2-INSP2-REV	0
PC2	A005-P1-UF-DISPENSE	real2	A005-R1-UF-BAKE	0
PC2	A005-P1-BG2-SORT	real2	A005-R1-DAF-SAT	0
